id,userId,username,assignmentId,attemptNumber,itemNumber,credit,creditOverride,weight,generatedVariant,viewedSolution,viewedSolutionDate,began
57,Ky4JpriOY9XX6kG9cPPRJ,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,0,NULL,1,,0,NULL,"2020-11-16 12:06:41"
58,Ky4JpriOY9XX6kG9cPPRJ,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,0.5,NULL,1,,0,NULL,"2020-11-16 12:06:41"
59,Ky4JpriOY9XX6kG9cPPRJ,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,0.75,NULL,1,,0,NULL,"2020-11-16 12:06:41"
60,E4WQQ0Y0uaYXEYubjEn6T,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,1,NULL,1,,0,NULL,"2020-11-16 12:06:46"
61,E4WQQ0Y0uaYXEYubjEn6T,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,1,NULL,1,,0,NULL,"2020-11-16 12:06:46"
62,E4WQQ0Y0uaYXEYubjEn6T,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,1,NULL,1,,0,NULL,"2020-11-16 12:06:46"
63,8dvGNOnRD0qObwq7FnvhE,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,0,NULL,1,,0,NULL,"2020-11-16 12:07:18"
64,8dvGNOnRD0qObwq7FnvhE,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,0.5,NULL,1,,0,NULL,"2020-11-16 12:07:18"
65,8dvGNOnRD0qObwq7FnvhE,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,0.75,NULL,1,,0,NULL,"2020-11-16 12:07:18"
66,j9GkgpnSoNsEFvOrHqYYe,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,0,NULL,1,,0,NULL,"2020-11-16 12:07:40"
67,j9GkgpnSoNsEFvOrHqYYe,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,0,NULL,1,,0,NULL,"2020-11-16 12:07:40"
68,j9GkgpnSoNsEFvOrHqYYe,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,0.25,NULL,1,,0,NULL,"2020-11-16 12:07:40"
69,wmAiVBfnwUOkT2UpOo6t1,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,0,NULL,1,,0,NULL,"2020-11-16 12:09:22"
70,wmAiVBfnwUOkT2UpOo6t1,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,0,NULL,1,,0,NULL,"2020-11-16 12:09:22"
71,wmAiVBfnwUOkT2UpOo6t1,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,NULL,NULL,1,,0,NULL,"2020-11-16 12:09:22"
72,uRuzuHL7rU3TZHpU50NXu,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,0.25,NULL,1,,0,NULL,"2020-11-16 12:10:28"
73,uRuzuHL7rU3TZHpU50NXu,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,0.75,NULL,1,,0,NULL,"2020-11-16 12:10:28"
74,uRuzuHL7rU3TZHpU50NXu,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,0.75,NULL,1,,0,NULL,"2020-11-16 12:10:28"
75,GBiUK4dfUUvdvQvZjdhQE,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,NULL,NULL,1,,0,NULL,"2020-11-16 12:20:28"
76,GBiUK4dfUUvdvQvZjdhQE,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,NULL,NULL,1,,0,NULL,"2020-11-16 12:20:28"
77,GBiUK4dfUUvdvQvZjdhQE,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,NULL,NULL,1,,0,NULL,"2020-11-16 12:20:28"
